Ref,DS_SS,Ref_name,Extracted_by,Ocean,Region,Study_location,Ecoregion_number,Study_site,Study_type,Genus,species,Updated_Genus,Updated_species,Colony_form,Other_forms,Coral_age_class,Coral_age_at_start_expt_days_since_settled,Coral_age_at_start_expt_days_postfert,Coral_age_at_end_expt_days_postfert,Surface_direction,Surface_direction_deg,Treatment,Exp_details,Other_conditions,Control_code,Sed_comp,Binary_sed_burial,Sed_level,Sed_level_UoM,Sed_level_stand_mg,Sed_level_avg_type,Sed_level_avg_N,Sed_level_avg_N_UoM,Sed_error_low,Sed_error_high,Sed_error_type,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_days,Days_after_start,Sed_application,Sed_notes,Binary_high_yield,Binary_hydrostatic_inflation,Binary_tentacular_activity,Binary_increased_mucus,Binary_congealed_sediment,Binary_auto_to_heterotroph,Binary_reduced_PR_ratio,Binary_reduced_FvFm,Binary_reduced_growth,Binary_reduced_fertilization,Binary_limited_settlement,Binary_bleaching_or_reduced_chla,Binary_algal_overgrowth,Binary_smothering,Binary_larval_survival,Binary_recruit_death,Binary_small_necroses,Binary_large_necroses,Binary_death_total,Bin_notes,Binary_non_adverse_reported,Binary_adverse_reported,Binary_mortality_reported,Binary_any_effect,Binary_effect_non_adverse,Binary_effect_adverse,Binary_effect_mortality,date_of extraction,Additional_notes,Changes_from_full_dataset
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Medium sediment,Tank 5 and 6,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,6.6,mg/cm2/day,6.6,mean,2,traps,0.6,0.6,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,1,NA,1,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,High sediment,Tank 7 and 8,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,217.1,mg/cm2/day,217.1,mean,2,traps,153.4,153.4,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,1,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,1,NA,1,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Control (no sediment),Tank 1 and 2,n/a,1,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,0.9,mg/cm2/day,0.9,mean,2,traps,0.5,0.5,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Low sediment,Tank 3 and 4,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,3.1,mg/cm2/day,3.1,mean,2,traps,0,0,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Medium sediment,Tank 5 and 6,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,6.6,mg/cm2/day,6.6,mean,2,traps,0.6,0.6,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,High sediment,Tank 7 and 8,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,217.1,mg/cm2/day,217.1,mean,2,traps,153.4,153.4,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,Control (no sediment),Tank 1 and 2,n/a,1,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,0.9,mg/cm2/day,0.9,mean,2,traps,0.5,0.5,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,Low sediment,Tank 3 and 4,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,3.1,mg/cm2/day,3.1,mean,2,traps,0,0,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,Medium sediment,Tank 5 and 6,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,6.6,mg/cm2/day,6.6,mean,2,traps,0.6,0.6,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,High sediment,Tank 7 and 8,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,217.1,mg/cm2/day,217.1,mean,2,traps,153.4,153.4,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,all,all,Control (no sediment),Tank 1 and 2,n/a,1,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,0.9,mg/cm2/day,0.9,mean,2,traps,0.5,0.5,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,all,all,Low sediment,Tank 3 and 4,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,3.1,mg/cm2/day,3.1,mean,2,traps,0,0,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,all,all,Medium sediment,Tank 5 and 6,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,6.6,mg/cm2/day,6.6,mean,2,traps,0.6,0.6,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS01,DS,Babcock and Davies (1991),LJT,Pacific,GBR,Great Barrier Reef north-central (ER074),74,Laboratory,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,all,all,High sediment,Tank 7 and 8,n/a,0,"fine sand and silt of mixed terrigenous and carbonate origin, was collected at a depth of 9 m at the bottom of the reef slope in Pioneer Bay, Orpheus Island ",0,217.1,mg/cm2/day,217.1,mean,2,traps,153.4,153.4,s.d.,2,d,2,2,2,during_settlement,"sediment and settlement plates were deposited before larvae released into tank, reflects sediment level on TOP surface",,,,,,,,,,,0,,,,,,,,,"based on reported ANOVA tests that looked for differences among treatments and tanks, with respect to controls",0,1,0,0,NA,0,NA,not recorded,"Reduced larval settlement only on top facing settlement surfaces. All other configurations, including the total settlement, was unaffected by sediment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Control (no sediment),4 days after larvae deployment,n/a,1,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,1.32,mg/cm2/day,1.32,mean,2,sites,0.3,0.3,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Reference sites; BOTTOM-specific measurement not given, so this is sediment on TOP surface, presumably",,,,,,,,,,,0,,,,,,,,,based on statistics in Table 2,0,1,0,0,NA,0,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,bottom,180,Sediment treatment,4 days after larvae deployment,n/a,0,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,11.7,mg/cm2/day,11.7,mean,2,sites,4.9,4.9,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Sediment treatment sites; BOTTOM-specific measurement not given, so this is sediment on TOP surface, presumably",,,,,,,,,,,1,,,,,,,,,based on statistics in Table 2,0,1,0,1,NA,1,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,Control (no sediment),4 days after larvae deployment,n/a,1,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,1.32,mg/cm2/day,1.32,mean,2,sites,0.3,0.3,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Reference sites; SIDES-specific measurement not given, so this is sediment on TOP surface, presumably",,,,,,,,,,,0,,,,,,,,,based on statistics in Table 2,0,1,0,0,NA,0,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,side vertical,90,Sediment treatment,4 days after larvae deployment,n/a,0,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,11.7,mg/cm2/day,11.7,mean,2,sites,4.9,4.9,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Sediment treatment sites; SIDES-specific measurement not given, so this is sediment on TOP surface, presumably",,,,,,,,,,,0,,,,,,,,,based on statistics in Table 2,0,1,0,0,NA,0,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,top,0,Control (no sediment),4 days after larvae deployment,n/a,1,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,1.32,mg/cm2/day,1.32,mean,2,sites,0.3,0.3,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Reference sites",,,,,,,,,,,0,,,,,,,,,based on statistics in Table 2,0,1,0,0,NA,0,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
DS02,DS,Babcock and Smith (2000),LJT,Pacific,Western Australia,Ningaloo Reef and coastal north-west Australia (ER088),88,Field,manipulative,Acropora,millepora,Acropora,millepora,,,larva,0,,,top,0,Sediment treatment,4 days after larvae deployment,n/a,0,"terrestrial sediment of no less than 90% silt/clay (without cement stabilizer), from experimental ""rammed earth bricks""",0,11.7,mg/cm2/day,11.7,mean,2,sites,4.9,4.9,95% CI,4,d,4,4,4,pre_during_post_settlement,"value from Table 1, Total for March Sediment treatment sites",,,,,,,,,,,0,,,,,,,,,based on statistics in Table 2,0,1,0,0,NA,0,NA,not recorded,"manipulative experiment in the field that applied sediment with dissolving block and tracked larval settlement (after 4 days) and recruitment (survival after 8 mo) of experimentally added larvae; most settlement/recruitment was on UNDERSIDE of tiles, where presumably there was not sediment, but there was still a treatment effect, indicating an indirect effect of sediment (on topside) on overall settlement/recruitment",
